절,항목,값,단위,n,산출,그림,설명
사용자 발화 화행,화행 라벨 완료 문장,319,문장,747,analyze_speechact.py,,"참가자 18/21명 · 전체 747문장 중 43% · 미코딩 P12, P20, P21 (분모 21는 P01 을 뺀 수)"
사용자 발화 화행,화행을 알 때 정서 표면성 적중률,72.3,%,318,analyze_speechact.py,그림 2,최빈값(NONE)만 찍어도 65.1% 라 +7.2%p 뿐 — 화행이 정서를 결정하지 않는다
사용자 발화 화행,화행 × 정서 표면성 연관 (Cramér's V),0.481,,318,analyze_speechact.py,그림 2,χ²=147.2 df=14 p=2.6e-24
사용자 발화 화행,정보·상태 서술(S) 중 정서가 읽힌 비율,30.7,%,101,analyze_speechact.py,그림 2,EXP 3 · IMP 28 · NONE 70 — IMP 가 대부분이라 감정어 검색으로는 안 잡힌다
사용자 발화 화행,물음표로 끝나지만 질문(Q)이 아닌 비율,23.1,%,78,analyze_speechact.py,,S 7 · RQ 6 · EXPR 2 · RESP 2 · FRAG 1 — 형식으로 자동 분류하면 이만큼 놓친다
이번에 실제로 한 대화,에피소드 수,28,개,22,analyze_survey.py,,주제1 22건 + 주제2 6건
감정 자기보고 VA,대화 전후 Valence 변화,0.591,점,22,analyze_survey.py,,5.36→5.95 · 대응표본 t=+1.89 p=0.073 (유의하지 않음)
감정 자기보고 VA,전_V 와 후_V 의 상관,0.668,r,22,analyze_survey.py,,p=0.001 · 순위 유지 정도이지 변화량이 아니다
감정 자기보고 VA,전_V 와 주제1_V 의 상관,0.292,r,22,analyze_survey.py,,p=0.187 · 낮을수록 주제 감정이 대화 직전 기분과 별개라는 뜻
정서 표면성과 자기보고,자기보고 VA 중 정서 표면 비율로 설명되는 분산의 최댓값,11.7,%,18,surface_va_probe.py,그림 6,"V·A 두 축 × 세 시점 + 중립점 거리, 일곱 가지 중 가장 큰 값. 어느 축으로도 12% 를 넘지 않는다"
정서 표면성과 자기보고,표면 비율과 대화 길이의 상관,-0.001,r,18,surface_va_probe.py,,p=0.997 · 대화가 길어서 정서가 많이 나온 것이 아니라는 확인
