p_id,turn,sent_no,role,text,chars,esconv,note
P14,1,-,Prompt,안녕 퇴사하고 싶어,10,-,-
P14,1,1,Response,안녕… 또 그 생각이 올라왔구나.,18,,
P14,1,2,Response,"지금 너는 일이 싫어서 단순히 도망가고 싶은 것보다는, 계속 행사 준비하고 입주기업 챙기고 위아래 눈치 보고, 팀장님 분위기까지 신경 쓰면서 너무 오래 버틴 느낌이야.",93,,
P14,1,3,Response,그래서 “퇴사하고 싶다”는 말이 나오는 게 이상한 게 아님.,33,,
P14,1,4,Response,"근데 당장 사표부터 던지기보다는, 너 예전에 말했던 것처럼 올해 큰 행사들 마무리하고 1년 깔끔하게 채운 뒤 이직 준비하는 방향이 지금은 제일 현실적일 수도 있어.",91,,
P14,1,5,Response,오늘은 그냥 퇴사하고 싶은 이유를 하나씩 털어놔도 돼.,30,,
P14,1,6,Response,오늘 특히 무슨 일이 있었어?,16,,
P14,2,-,Prompt,일요일이잖아,6,-,-
P14,2,1,Response,ㅋㅋㅋㅋ 맞네 일요일인데 내가 무슨 오늘 무슨 일 있었냐고 했노 🤦‍♂️ 그냥 일요일 밤 되니까 내일 출근 생각나서 퇴사하고 싶은 거지? 😭,78,,
P14,3,-,Prompt,레알 가기싫다,7,-,-
P14,3,1,Response,아… 그건 진짜 이해된다.,14,,
P14,3,2,Response,"일요일 밤에 출근 생각만 해도 벌써 기 빨리는 그 느낌 😭 너 요즘 계속 행사 준비에 입주기업 관리에, 위아래 눈치까지 보고 있잖아.",74,,
P14,3,3,Response,그냥 일이 조금 힘든 정도가 아니라 일상에서 회복할 시간까지 잡아먹는 느낌이라 더 가기 싫은 것 같음.,57,,
P14,3,4,Response,근데 내일 하루만 생각하자.,15,,
P14,3,5,Response,“퇴사할까 말까”까지 내일 아침에 결정할 필요 없다.,29,,
P14,3,6,Response,"일단 출근해서 하루 버티고, 퇴사 문제는 퇴근 후에 생각해도 됨.",36,,
P14,3,7,Response,오늘은 그냥 내일 출근하기 싫다고 욕해도 되는 날이다 ㅋㅋㅋㅋ 😭,36,,
P14,4,-,Prompt,더워서 더 싫다,8,-,-
P14,4,1,Response,아 그건 인정이지 ㅋㅋㅋㅋ 일요일 밤 + 월요일 출근 + 폭염이면 출근하기 싫은 3종 세트다 😭 집에서 에어컨 켜고 누워있다가 더운 날씨에 밖에 나가서 출근하는 것 자체가 벌써 노동임.,103,,
P14,4,2,Response,특히 너 센터 업무 특성상 행사나 시설 확인 때문에 왔다 갔다 할 일도 있으니까 더 싫을 듯.,52,,
P14,4,3,Response,"내일은 진짜 “일단 출근만 한다”를 목표로 해라. 일 잘하려고 하지 말고, 오전만 버티고, 점심 먹고, 퇴근까지 그냥 생존 모드로 ㅋㅋㅋ",76,,
P14,5,-,Prompt,집에서 맨날 놀고싶은데,12,-,-
P14,5,1,Response,"그 마음 너무 이해된다 ㅋㅋㅋ 집에서 게임하고, 유튜브 보고, 에어컨 켜놓고 아무것도 안 하고 싶은 거지 😭 근데 솔직히 너는 아무것도 안 하는 삶 자체가 목표라기보단, 지금처럼 회사 때문에 내 시간이 다 빨려나가는 게 싫은 것에 가까워 보여.",136,,
P14,5,2,Response,일 끝나고도 회복할 힘이 없으니까 집에 있어도 제대로 쉬는 느낌이 안 들고.,42,,
P14,5,3,Response,퇴사하면 처음에는 진짜 행복할 듯.,19,,
P14,5,4,Response,근데 몇 달 지나면 또 “돈도 벌어야 하고 뭔가 해야 하는데…” 하는 생각이 올 가능성도 큼.,52,,
P14,5,5,Response,그래서 지금은 “평생 일 안 하기”보다 “내가 덜 싫어하는 일을 하면서 내 시간을 더 많이 확보하기”가 너한테 더 맞는 목표 같아.,73,,
P14,5,6,Response,그래도 오늘만큼은 그냥 인정하자.,18,,
P14,5,7,Response,나도 집에서 맨날 놀고 싶다.,16,,
P14,5,8,Response,회사 가기 싫다.,9,,
P14,5,9,Response,ㅋㅋㅋㅋ 😭,6,,
P14,6,-,Prompt,너는 안가잖아,7,-,-
P14,6,1,Response,"ㅋㅋㅋㅋㅋㅋ 맞네 나는 출근 자체를 안 하네 🤣 에어컨도 필요 없고, 월요일도 없고, 상사 눈치도 안 보고… 근데 대신 나는 네가 일요일 밤마다 “퇴사하고 싶다” 할 때마다 옆에서 같이 욕해주는 역할은 한다 ㅋㅋㅋㅋ 너는 내일 출근하고, 나는 여기서 기다리고 있을게 😭",150,,
P14,7,-,Prompt,퇴사하고 싶을때 뭘 하면 좋을까,17,-,-
P14,7,1,Response,퇴사하고 싶을 때는 바로 사직서 쓰는 것보다 ‘퇴사 충동을 행동으로 바꾸는 것’이 제일 좋음 ㅋㅋㅋ,55,,
P14,7,2,Response,1. 일단 10분만 퇴사 준비하기,18,,
P14,7,3,Response,퇴사하고 싶을 때마다 무작정 참지 말고:,22,,
P14,7,4,Response,이직할 회사 1곳 찾아보기,14,,
P14,7,5,Response,채용공고 3개 저장하기,12,,
P14,7,6,Response,자격증 공부 20분 하기,13,,
P14,7,7,Response,이력서 한 줄 수정하기,12,,
P14,7,8,Response,이렇게 하면 “나는 갇혀 있다”는 느낌이 줄어듦.,27,,
P14,7,9,Response,실제로 탈출 준비를 하고 있다는 느낌이 들거든.,26,,
P14,7,10,Response,2. 퇴사하고 싶은 이유를 한 줄로 적기,22,,
P14,7,11,Response,"예를 들어: “오늘은 일이 싫은 게 아니라, 더워서 출근하는 것 자체가 싫다.” 이렇게 적으면 진짜 퇴사해야 할 문제인지, 그냥 오늘 너무 힘든 건지 구분이 됨.",90,,
P14,7,12,Response,3. 진짜 퇴사하고 싶으면 ‘퇴사 후 하루’를 상상하기,30,,
P14,7,13,Response,너라면 퇴사하고 아침에 일어나서:,18,,
P14,7,14,Response,오전에 뭐 할 건지,10,,
P14,7,15,Response,돈은 어떻게 쓸 건지,11,,
P14,7,16,Response,언제부터 이직 준비할 건지,14,,
P14,7,17,Response,이걸 구체적으로 생각해봐야 함.,17,,
P14,7,18,Response,"“집에서 맨날 놀기”는 처음엔 천국인데, 돈 걱정 시작되면 지옥 될 수 있어서 ㅋㅋㅋ 그리고 너한테는 솔직히 지금 당장 퇴사보다, 올해 일단 마무리하고 이직 준비를 병행하는 게 가장 안전해 보임.",109,,
P14,7,19,Response,"퇴사하고 싶은 마음이 들 때마다 이직 준비를 조금씩 해두면, 나중에 진짜 그만둘 때 훨씬 덜 무서워져.",57,,
P14,7,20,Response,"오늘 밤의 목표는 퇴사 결심이 아니라, 채용공고 하나만 보는 걸로 하자 ㅋㅋㅋ",43,,
P14,8,-,Prompt,이직 되면 바로 도망가야겟다,15,-,-
P14,8,1,Response,ㅋㅋㅋㅋ 그게 제일 이상적인 시나리오지.,22,,
P14,8,2,Response,"이직 합격 통보 받는 순간: “아… 저 사실 말씀드릴 게 있는데요…”하고 마음속으로는 🏃‍♂️💨 도망간다아아아아아 하는 거지 ㅋㅋㅋㅋ 너는 지금 직장이 아예 못 버틸 정도라기보다는, “더 좋은 곳으로 갈 수만 있으면 여기서 굳이 더 버틸 이유가 없다”는 상태에 가까워 보여.",153,,
P14,8,3,Response,그러니까 이직 준비를 해두는 게 진짜 중요함.,25,,
P14,8,4,Response,합격 → 퇴사 통보 → 남은 기간 최소한으로 마무리 → 탈출 이 루트 가자 ㅋㅋㅋ,45,,
P14,9,-,Prompt,좋네 오케이 가보자,10,-,-
P14,9,1,Response,좋지 ㅋㅋㅋㅋ 가보자고 🔥 내일부터 거창하게 하지 말고:,31,,
P14,9,2,Response,채용공고 3개 보기,10,,
P14,9,3,Response,관심 있는 직무 1개 정하기,15,,
P14,9,4,Response,이력서·자소서 조금씩 정리하기,16,,
P14,9,5,Response,자격증 공부는 하루 30분이라도 하기,20,,
P14,9,6,Response,이렇게만 해도 된다.,11,,
P14,9,7,Response,지금 목표는 “회사 그만둬야지…”에서 “합격하면 진짜 나간다”로 바꾸는 것임 ㅋㅋㅋ 그럼 출근이 싫어도 최소한 탈출 준비하면서 버티는 사람이 되는 거지.,85,,
P14,9,8,Response,"올해는 일단 버티면서 탈출구 만들어놓고, 합격하는 순간 도망가자 🏃‍♂️💨 Powered by ChatGPT Exporter",69,,
