p_id,나이,성별,MBTI,사용빈도,요금제,모델,평소_대화주제,평소_감정상태,전_V,전_A,전_감정단어,후_V,후_A,후_감정단어,주제1,주제1_V,주제1_A,주제1_감정단어,주제2,주제2_V,주제2_A,주제2_감정단어,총_턴수,첨언
P01,24,F,INFP,거의매일,무료,gpt5.5,코딩·기술,"답답함·스트레스 해소 목적 , 특별한 감정 없음",5,5,무감정,4,5,답답함,뱃살 걱정,3,6,답답함,,,,,11,"길게 답변하고, 움직이기 싫은데 살 빼는 법에 대한 방법을 제안하려고 해서 (원문 확인 필요)"
P02,25,F,ISFP,거의매일,무료,gpt5.5,"글쓰기 도움, 코딩·기술, 논문 해석, 토익 공부 문법 문제 물어보기",답답함·스트레스 해소 목적,5,3,걱정,6,5,고민,미래 연구 분야 결정 및 대학원 컨택,2,2,막막함,,,,,12,진로 고민 시의 막막함. 채팅 전/후에는 감정이 보통 ~긍정 (원문 확인 필요)
P03,25,M,INFJ,주3-5,유료,gpt5.5 Instant,"정보 검색·질문, 학업·업무 도움, 고민 거리, 추천 목록 작성","답답함·스트레스 해소 목적, 차분함",6,4,걱정,8,2,차분,고민 상담,7,3,편안함,추천 리스트 작성 및 여러 이야기,6,3,안정,11,응원 부탁했는데 자신감을 불어넣어주는 답변에 만족감을 느낌.
P04,25,F,INTP,주1-2,무료,gpt5.5,"정보 검색·질문, 일상 잡담, 고민 상담","답답함·스트레스 해소 목적, 외로움·심심함",2,6,화남,2,7,화남,점심 뭐 먹을지 ,5,6,무감정,가르치는 학생 이야기 ,7,2,화남,24,
P05,25,F,ISTJ,주3-5,무료,gpt5.5,"정보·검색 질문, 학업·업무 도움",특별한 감정 없음 ,5,5,무감정,5,5,무감정,단순 자유 대화,5,5,무감정,,,,,16,대화 당시 거의 무감정이었던 것 같다. 딱히 감정이 있는 (원문 확인 필요)
P06,25,F,INTP,거의매일,무료,gpt5.5,학업·업무 도움,외로움·심심함,4,6,불안함,2,6,불안함,금요일 강릉 방문 예정과 야근 문제 고민,2,7,불안함,,,,,6,마지막엔 답변이 너무 길어서 화가 나서 그만 뒀음.
P07,24,F,ISTJ,거의매일,유료,Autogpt(gpt4),"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 코딩·기술, 고민 상담, 자기소개서 작성 도움, 자격증 시험 문제 풀이, 논문 한국어 번역","차분함, 호기심, 답답함·스트레스 해소 목적, 불안·걱정이 있을 때, 특별한 감정 없음",5,2,따분함,8,3,희망찬,수면 관리,8,4,만족감,,,,,10,"gpt가 개선 방향을 제시해 줘서 의지가 올라갔고, 답변이 만족스러웠음. "
P08,21,F,INTP,월1-3,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움","답답함·스트레스 해소 목적 , 특별한 감정 없음",4,5,심심함,6,6,깨달음,과제 수행에서의 문제 해결과 보완점 개선,5,4,막막함,,,,,11,과제 관련 질문 위주로 ai에 대화하면서 딱히 감정이 들어갔던 적은 없다.
P09,23,F,ISTP,주3-5,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 일상 잡담","즐거움·재미, 호기심",6,4,좋음,7,5,좋음,다음 주 수요일에 개봉하는 스파이더맨 영화 이야기,8,6,기대감,목에 담 걸렸던 이야기,4,3,약간 걱정,14,목에 담 걸렸다고 했는데 우리 엄마보다 반응이 따뜻해서 감동받았다. 
P10,25,F,ISTJ,거의사용안함,무료,gpt5.5,"정보 검색·질문, 맛집이나 카페 또는 모르는 기계 사용법 질문",호기심,5,5,편안함,7,6,웃김,사는 곳 근처의 애견 동반 카페 검색,6,6,만족감,키우는 강아지 관련 대화,7,7,즐거움,15,나에게 질문을 역으로 할 때가 인상적이다.
P11,25,F,ISTJ,주3-5,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 아이디어 얻기","차분함, 호기심, 특별한 감정 없음",5,5,무감정,5,5,무감정,다이어트 방법,5,5,무감정,,,,,10,큰 감정 없음.
P12,25,F,ISFP,거의매일,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 고민 상담","답답함·스트레스 해소 목적, 불안·걱정이 있을 때",4,2,무감정,8,,안도감,자소서,7,4,안도감,,,,,52,
P13,27,M,INTJ,거의매일,유료,GPT-5.6 Sol,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움",특별한 감정 없음,5,2,무감정,5,,나쁘지 않음,중앙은행의 기준금리 결정,7,7,시원함,,,,,17,
P14,26,M,ISFP,거의매일,무료,gpt5.5,정보 검색·질문,특별한 감정 없음,5,8,무감정,7,,무감정,퇴사,1,3,안좋음,,,,,9,
P15,22,F,INFP,거의매일,유료,모름,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 일상 잡담, 고민 상담, 창작·놀이","즐거움·재미, 호기심, 답답함·스트레스 해소 목적, 외로움·심심함, 불안·걱정이 있을 때",9,5,신남,9,9,즐거움,점심 식사 준비,5,6,기쁨!,,,,,7,
P16,22,F,ISTP,주1-2,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움, 일상 잡담",특별한 감정 없음,5,5,무감정,5,5,무감정,민달팽이,6,6,뿌듯,,,,,4,
P17,20,M,ENFJ,거의매일,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움, 코딩·기술","호기심, 답답함·스트레스 해소 목적",7,7,기쁨,7,7,행복,기계 설명,7,7,좋음,,,,,1,
P18,22,M,ISTJ,거의사용안함,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움","차분함, 호기심",5,2,무감정,5,5,무감정,공문,5,3,귀찮음,,,,,7,
P19,23,F,INTJ,월1-3,무료,gpt5.5,"정보 검색·질문, 학업·업무 도움, 코딩·기술",호기심,5,5,무감정,3,4,답답함,"2학기 복학 전, 한 달 동안의 스케줄 및 공부 계획",2,6,답답하고 막막함,,,,,11,논문 추천에 대하여 주차별 로드맵을 알려줘서 상당히 도움이 되었음
