utterance_id,turn_index,sentence_index,text,speech_act_v1,speech_act_v2,changed,emotion_surface,note
P04-t01-s01,01,01,안녕 지피티야,UNC,PHATIC,Y,NONE,인사
P04-t02-s01,02,01,배고프다 점메추,Q,Q,,EXP,저녁 메뉴에 관한 답변 원하고 있음
P04-t03-s01,03,01,내 주식 다 망했어 지피티야,S,S,,IMP,주식이 망한 상황에 대해 알림
P04-t04-s01,04,01,됐다 안할래,UNC,RESP,Y,IMP,답변이 뭔갈 요구하거나 시도해 보라는 내용인데 사용자가 안 하겠다고 답변함. 뭔가 정보 제공이나 질문에 관한 응답은 아님. 사용자가 gpt의 말에 대답하는 응답.
P04-t05-s01,05,01,오늘 출근하기 싫다 지피티야,UNC,EXPR,Y,EXP,본인의 감정표현. '출근하기 싫음'
P04-t06-s01,06,01,ㅇ니 자고싶음,S,RESP,Y,EXP,자고싶다는 표현 제시.
P04-t07-s01,07,01,그리고 오늘 수업 빡세,S,S,,IMP,수업이 빡세다' -> 간접적으로 힘들거라는 것을 예상할 수 있음.
P04-t08-s01,08,01,아니 오늘 하루종일 풀타임이고 손 많이가는애도 옴,S,S,,IMP,오늘 왜 힘들 것인지에 대한 정보 제공.
P04-t08-s02,08,02,우리반애들 다 빡대갈이라,S,S,,IMP,본인이 가르치는 학생들에 대한 불만.
P04-t09-s01,09,01,밥먹을시간도없음,S,S,,IMP,바빠서 밥 먹을 시간도 없다는 정보 제공.
P04-t10-s01,10,01,아니 밥은 둘째치고 어떻게 그렇게 못하나 싶다,S,S,,IMP,가르치는 학생들이 공부를 못해서 답답해하는 것 같은 간접적 표현.
P04-t10-s02,10,02,한문제도 못 풀면 그냥 지능문제 아님?,Q,Q,,IMP,아이들이 공부를 못하는 것에 대한 답답함을 표출한 '지능 문제'언급
P04-t11-s01,11,01,아니 그냥 개념 문제도 잘 못 풀어 방금 얘기했는데 그걸 왜 못하지 싶음,S,S,,IMP,"아이들이 공부를 못해서 답답하고, 왜 이걸 모르는 것인지에 대한 본인의 생각 제시"
P04-t11-s02,11,02,그건 초딩한테 가르쳐도 바로 풀 수준인데,,,,,자기가 가르치는 것이 얼마나 쉬운 것인지 제시
P04-t12-s01,12,01,아니 지랄 ㄴ,UNC,EXPR,Y,EXP,욕설
P04-t12-s02,12,02,야 이등변 밑각 두개 같은거 누가 몰라? 그거 못 구한다고,S,S,,IMP,gpt의 답변에 답답하여 화가 남. 아이들이 그 당연한 것을 풀지 못한다고 강조.
P04-t13-s01,13,01,그정도면 그냥 포기를 하지 싶음,UNC,RESP,Y,IMP,아이들이 못 풀면서 왜 포기를 안 하는 것인지에 대해 제시.
P04-t13-s02,13,02,아니 이해가안돼서그래,RQ,RQ,,EXP,아이들을 이해할 수가 없음.
P04-t14-s01,14,01,내분점 구하라는데 중점 구하고 앉음,S,S,,IMP,본인이 시킨 것을 아이들이 잘못 수행함에 대해 황당함 표출.
P04-t15-s01,15,01,내가 내분점 구하라고 말하자마자 중점 구하는건 지능 이슈 맞지않니?,Q,Q,,IMP,이정도 가르쳤는데 잘못 구하면 '지능 이슈'가 맞지 않냐고 gpt에게 공감식 동의를 구함.
P04-t16-s01,16,01,농담도 못알아듣는 지능인데,S,S,,IMP,누가 말하는 농담을 말한 건지 모르겠음. Gpt또는 본인이 제시한 농담을 gpt가 못 알아 듣는다?
P04-t17-s01,17,01,밥먹는중,S,RESP,Y,NONE,본인의 현 상황 제시.
P04-t18-s01,18,01,아니 지금은 출근 안 했거든,S,S,,NONE,아직 출근 안한 상황 제시.
P04-t19-s01,19,01,소고기,S,RESP,Y,NONE,뭐 먹는지 제시.
P04-t20-s01,20,01,넌 밥 안 먹어?,Q,Q,,NONE,gpt에게 밥 안 먹냐고 물어봄.
P04-t21-s01,21,01,부드럽게,UNC,RESP,Y,NONE,답변.
P04-t22-s01,22,01,아너무덥다,S,S,,EXP,본인의 더운 기분 제시.
P04-t23-s01,23,01,엉,UNC,RESP,Y,NONE,답변.
P04-t24-s01,24,01,엉 오늘은 밥 무조건 먹어야돼,S,RESP,Y,NONE,오늘 꼭 밥 먹어야 된다 상황 제시.
