p_id,나이,성별,모델,요금제,사용빈도,평소_대화주제,평소_감정상태,주제1,주제1_V,주제1_A,주제2,주제2_V,주제2_A,전_V,전_A,후_V,후_A
P01,24,F,gpt5.5,무료,거의매일,코딩·기술,"답답함·스트레스 해소 목적 , 특별한 감정 없음",뱃살 걱정,3,6,,,,5,5,4,5
P02,25,F,gpt5.5,무료,거의매일,"글쓰기 도움, 코딩·기술, 논문 해석, 토익 공부 문법 문제 물어보기",답답함·스트레스 해소 목적,미래 연구 분야 결정 및 대학원 컨택,2,2,,,,5,3,6,5
P03,25,M,gpt5.5 Instant,유료,주3-5,"정보 검색·질문, 학업·업무 도움, 고민 거리, 추천 목록 작성","답답함·스트레스 해소 목적, 차분함",고민 상담,7,3,추천 리스트 작성 및 여러 이야기,6,3,6,4,8,2
P04,25,F,gpt5.5,무료,주1-2,"정보 검색·질문, 일상 잡담, 고민 상담","답답함·스트레스 해소 목적, 외로움·심심함",점심 뭐 먹을지 ,5,6,가르치는 학생 이야기 ,7,2,2,6,2,7
P05,25,F,gpt5.5,무료,주3-5,"정보·검색 질문, 학업·업무 도움",특별한 감정 없음 ,단순 자유 대화,5,5,,,,5,5,5,5
P06,25,F,gpt5.5,무료,거의매일,학업·업무 도움,외로움·심심함,금요일 강릉 방문 예정과 야근 문제 고민,2,7,,,,4,6,2,6
P07,24,F,Autogpt(gpt4),유료,거의매일,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 코딩·기술, 고민 상담, 자기소개서 작성 도움, 자격증 시험 문제 풀이, 논문 한국어 번역","차분함, 호기심, 답답함·스트레스 해소 목적, 불안·걱정이 있을 때, 특별한 감정 없음",수면 관리,8,4,,,,5,2,8,3
P08,21,F,gpt5.5,무료,월1-3,"정보 검색·질문, 학업·업무 도움","답답함·스트레스 해소 목적 , 특별한 감정 없음",과제 수행에서의 문제 해결과 보완점 개선,5,4,,,,4,5,6,6
P09,23,F,gpt5.5,무료,주3-5,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 일상 잡담","즐거움·재미, 호기심",다음 주 수요일에 개봉하는 스파이더맨 영화 이야기,8,6,목에 담 걸렸던 이야기,4,3,6,4,7,5
P10,25,F,gpt5.5,무료,거의사용안함,"정보 검색·질문, 맛집이나 카페 또는 모르는 기계 사용법 질문",호기심,사는 곳 근처의 애견 동반 카페 검색,6,6,키우는 강아지 관련 대화,7,7,5,5,7,6
P11,25,F,gpt5.5,무료,주3-5,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 아이디어 얻기","차분함, 호기심, 특별한 감정 없음",다이어트 방법,5,5,,,,5,5,5,5
P12,25,F,gpt5.5,무료,거의매일,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 고민 상담","답답함·스트레스 해소 목적, 불안·걱정이 있을 때",자소서,7,4,,,,4,2,8,
P13,27,M,GPT-5.6 Sol,유료,거의매일,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움",특별한 감정 없음,중앙은행의 기준금리 결정,7,7,,,,5,2,5,
P14,26,M,gpt5.5,무료,거의매일,정보 검색·질문,특별한 감정 없음,퇴사,1,3,,,,5,8,7,
P15,22,F,모름,유료,거의매일,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 일상 잡담, 고민 상담, 창작·놀이","즐거움·재미, 호기심, 답답함·스트레스 해소 목적, 외로움·심심함, 불안·걱정이 있을 때",점심 식사 준비,5,6,,,,9,5,9,9
P16,22,F,gpt5.5,무료,주1-2,"정보 검색·질문, 학업·업무 도움, 일상 잡담",특별한 감정 없음,민달팽이,6,6,,,,5,5,5,5
P17,20,M,gpt5.5,무료,거의매일,"정보 검색·질문, 학업·업무 도움, 코딩·기술","호기심, 답답함·스트레스 해소 목적",기계 설명,7,7,,,,7,7,7,7
P18,22,M,gpt5.5,무료,거의사용안함,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움","차분함, 호기심",공문,5,3,,,,5,2,5,5
P19,23,F,gpt5.5,무료,월1-3,"정보 검색·질문, 학업·업무 도움, 코딩·기술",호기심,"2학기 복학 전, 한 달 동안의 스케줄 및 공부 계획",2,6,,,,5,5,3,4
P20,23,F,gpt5.5,유료,거의매일,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 일상 잡담, 고민 상담, 창작·놀이","즐거움·재미, 호기심, 외로움·심심함",일상 생활 관리,7,6,,,,8,6,8,5
P21,22,M,gpt5.5,무료,주3-5,"정보 검색·질문, 학업·업무 도움, 글쓰기 도움, 코딩·기술, 고민 상담","차분함, 즐거움·재미, 호기심, 불안·걱정이 있을 때",철학과 방향성,9,8,전체주의와 앞으로의 연구 방향성,,,7,3,7,8
P22,23,F,gpt5.5,무료,"거의 사용 안 함,주 1~2회","정보 검색·질문,학업·업무 도움,고민 상담","차분함, 답답함·스트레스 해소 목적",대인관계,3,8,진로·자격증,,,6,3,7,5
