p_id,turn,sent_no,role,text,chars,esconv
P03,1,-,Prompt,요즘 스트레스를 받는데 뭘 하면서 풀면 좋을까,25,-
P03,1,1,Response,"스트레스를 푸는 방법은 사람마다 다르지만, 보통은 머리를 비우는 활동, 몸을 움직이는 활동, 좋아하는 취미를 하는 것이 효과가 좋아.",74,
P03,1,2,Response,"네가 예전에 이야기했던 걸 보면 축구도 좋아하고, 여행도 좋아하는 편이라 이런 것들이 잘 맞을 수도 있어.",59,
P03,1,3,Response,⚽ 축구 경기 보기나 직접 공 차기 (가볍게라도 몸을 움직이면 스트레스 호르몬이 줄어드는 데 도움이 될 수 있어.),64,
P03,1,4,Response,🚶 30~60분 정도 음악 들으며 산책하기.,24,
P03,1,5,Response,특히 저녁에 걷는 것만으로도 기분이 한결 나아지는 경우가 많아.,35,
P03,1,6,Response,🎮 게임을 좋아한다면 1~2시간 정도 가볍게 즐기기.,29,
P03,1,7,Response,다만 경쟁 게임을 오래 하면 오히려 더 스트레스를 받을 수도 있어.,37,
P03,1,8,Response,🎬 영화 한 편 보기.,12,
P03,1,9,Response,"웃긴 코미디나 편하게 볼 수 있는 작품이 좋고, 최근 개봉작 중 관심 있는 영화를 보는 것도 괜찮아.",56,
P03,1,10,Response,☕ 혼자 카페에 가서 좋아하는 음료 마시며 아무 생각 없이 쉬기.,36,
P03,1,11,Response,🧳 곧 동유럽 여행을 간다면 여행 코스를 찾아보거나 맛집을 미리 알아보는 것도 기대감을 높여 기분 전환에 도움이 될 수 있어.,70,
P03,1,12,Response,그리고 스트레스가 계속 쌓일 때는 원인을 잠깐 적어보는 것도 의외로 효과가 있어.,45,
P03,1,13,Response,내가 지금 스트레스받는 이유가 뭔지,19,
P03,1,14,Response,내가 바꿀 수 있는 건 뭔지,15,
P03,1,15,Response,지금 당장 할 수 있는 가장 작은 행동은 뭔지,25,
P03,1,16,Response,이렇게 세 가지만 적어도 머릿속이 조금 정리되는 경우가 많아.,34,
P03,1,17,Response,"그런데 하나 궁금한데, 요즘 스트레스는 어떤 쪽이 제일 커?",33,
